23,-226.9215,307.7447,-67.02521,-150.67876,-214.85144,-268.4882,448.7924,331.86972,-197.13809,-141.56737,307.5045,-60.009937,-196.2478,-119.37266,-200.30228
4,-227.90361,335.3482,-106.4566,-114.6521,-197.7263,-312.85806,445.21964,350.00473,-272.95596,-126.27563,275.811,-60.293518,-183.49927,-131.17105,-271.16995
9,-144.75328,207.04468,-8.603814,-146.76842,-235.0996,-237.816,381.22174,337.79578,-118.50576,-143.32904,229.32756,-90.83615,-199.1471,-91.71472,-234.04143
16,-150.43797,295.4795,-60.054432,-89.85809,-182.34616,-299.6333,404.70444,370.00415,-255.43425,-111.64282,239.80388,-93.75212,-205.24016,-85.40581,-290.61276
18,-258.82825,324.5438,-124.01434,-106.45148,-171.92442,-270.4919,403.459,364.07388,-239.04265,-102.34959,279.40698,-74.85261,-181.28123,-138.21361,-316.1008
7,-226.95146,260.52365,-98.515495,-184.92833,-168.12671,-312.4747,329.25403,292.1191,-186.80687,-93.07989,249.46806,-76.37011,-199.62683,-150.06999,-239.96585
19,-181.71182,270.877,-50.74453,-119.77126,-149.89127,-258.3568,394.02853,335.7238,-189.46199,-139.07346,236.20813,-91.60419,-172.48546,-163.96489,-267.04623
0,-177.30699,330.89377,-93.480034,-100.68108,-224.18993,-293.41498,458.09836,398.9017,-223.17142,-153.94884,249.24837,-78.7438,-170.8401,-56.155865,-253.3772
13,-203.17693,257.01862,-42.97051,-132.447,-235.05595,-275.1024,407.2283,317.911,-221.33348,-111.624504,272.56277,-52.140358,-209.22672,-137.87396,-261.193
8,-230.9049,285.18625,-148.13174,-173.0128,-87.376114,-336.44263,328.55594,252.12654,-255.34554,-107.717606,210.44722,-92.086815,-176.74089,-239.63455,-288.00302
1,-193.30086,266.1176,-45.406605,-133.7954,-171.72206,-259.76837,413.49142,334.33957,-189.94026,-161.597,259.10312,-75.76547,-192.25351,-182.89702,-221.49088
2,-245.42711,279.8995,-91.13033,-161.96776,-219.82698,-327.77597,410.49057,325.48813,-223.74571,-164.18282,240.32005,-44.985683,-197.58545,-209.40808,-239.04185
10,-209.71391,251.49773,-130.37596,-94.98607,-185.8236,-244.62259,382.2116,338.44888,-243.52364,-106.0636,275.09265,-64.37253,-200.39539,-111.94694,-271.99423
17,-261.86612,311.007,-161.12514,-174.89746,-151.48528,-351.27664,375.8564,300.2839,-259.66077,-131.77055,238.15515,-68.76446,-186.97697,-215.69666,-266.09628
12,-152.12024,270.92267,-74.60775,-128.86992,-271.33475,-288.89816,493.97934,353.6343,-237.8831,-158.82483,273.46494,-64.45175,-188.48784,-96.566154,-259.5522
22,-160.12794,194.20825,-96.23253,-129.36433,-274.61154,-248.72305,437.02985,330.00543,-181.39827,-202.1386,215.39429,-52.560516,-191.20375,-128.39272,-227.72879
11,-195.67719,291.51434,-96.74389,-92.11967,-172.8114,-287.3859,420.23306,320.26926,-258.8472,-110.844826,230.65323,-65.69548,-144.09404,-140.00482,-321.34387
3,-241.11128,341.3427,-188.06993,-122.28749,-140.30342,-339.3212,394.97662,307.6755,-304.57812,-99.56947,251.73149,-60.855007,-161.49312,-136.43135,-277.73477
15,-184.44585,318.28864,-116.7068,-86.24059,-133.46428,-292.31503,371.02298,338.26306,-276.51535,-66.33172,259.0177,-85.50989,-184.11362,-76.998695,-285.62488
24,-140.27788,243.0081,-172.17372,-166.96312,-329.74585,-323.0737,528.5478,347.82355,-214.3188,-248.58731,217.19957,-61.715313,-175.48103,-69.587,-210.22879
14,-185.30756,335.55533,-134.37088,-66.82876,-176.62852,-299.73282,416.51352,365.026,-278.82117,-126.92678,219.91772,-60.167583,-144.95123,-88.42533,-276.34982
21,-172.46727,272.79242,-87.949394,-80.474556,-216.58264,-243.979,416.604,323.13425,-231.6647,-106.384926,246.1917,-47.48917,-153.70998,-71.65352,-277.42194
5,-180.83536,279.18634,-127.479004,-161.7776,-308.486,-316.04102,526.71454,357.3196,-203.4339,-229.37541,247.50015,-53.0142,-171.82172,-105.90954,-212.85283
20,-217.35948,291.2074,-180.3908,-180.84732,-240.135,-361.25867,469.18845,309.6379,-258.76834,-205.93835,228.30736,-56.09394,-181.42801,-167.35631,-222.72339
6,-136.764,260.9393,-94.30553,-80.02996,-234.81131,-210.10692,439.25397,375.56802,-196.00745,-111.11718,266.76425,-90.78765,-170.96008,-3.0499594,-295.99988
